initial_FB,initial_BM,id,#FB,#BM,day,exp,FB_type,collagen,plate,change_medium,strain,outlier,medium
1000,1000,1000_1000,394,122.0,3,38,nmf,1,96,0,balb,0,dmem10
1000,10000,1000_10000,470,581.0,3,38,nmf,1,96,0,balb,0,dmem10
1000,100000,1000_100000,1193,272.0,3,38,nmf,1,96,0,balb,0,dmem10
10000,0,10000_0,1421,0.0,3,38,nmf,1,96,0,balb,0,dmem10
10000,100,10000_100,2816,143.0,3,38,nmf,1,96,0,balb,0,dmem10
10000,1000,10000_1000,5006,469.0,3,38,nmf,1,96,0,balb,0,dmem10
10000,10000,10000_10000,5159,2124.0,3,38,nmf,1,96,0,balb,0,dmem10
10000,100000,10000_100000,8694,1875.0,3,38,nmf,1,96,0,balb,0,dmem10
100000,0,100000_0,15438,0.0,3,38,nmf,1,96,0,balb,0,dmem10
100000,100,100000_100,10101,1146.0,3,38,nmf,1,96,0,balb,0,dmem10
100000,1000,100000_1000,6737,208.0,3,38,nmf,1,96,0,balb,0,dmem10
100000,10000,100000_10000,1228,493.0,3,38,nmf,1,96,0,balb,0,dmem10
100000,100000,100000_100000,4628,4437.0,3,38,nmf,1,96,0,balb,0,dmem10
0,100,0_100,0,0.0,3,38,nmf,1,96,0,balb,0,dmem10
0,1000,0_1000,0,4.0,3,38,nmf,1,96,0,balb,0,dmem10
0,10000,0_10000,0,43.0,3,38,nmf,1,96,0,balb,0,dmem10
0,100000,0_100000,0,209.0,3,38,nmf,1,96,0,balb,0,dmem10
100,0,100_0,45,0.0,7,38,nmf,1,96,0,balb,0,dmem10
100,100,100_100,20,10.0,7,38,nmf,1,96,0,balb,0,dmem10
100,1000,100_1000,53,172.0,7,38,nmf,1,96,0,balb,0,dmem10
100,10000,100_10000,243,803.0,7,38,nmf,1,96,0,balb,0,dmem10
100,100000,100_100000,1746,1394.0,7,38,nmf,1,96,0,balb,0,dmem10
1000,0,1000_0,477,0.0,7,38,nmf,1,96,0,balb,0,dmem10
1000,100,1000_100,609,48.0,7,38,nmf,1,96,0,balb,0,dmem10
1000,1000,1000_1000,1099,600.0,7,38,nmf,1,96,0,balb,0,dmem10
1000,10000,1000_10000,2640,2767.0,7,38,nmf,1,96,0,balb,0,dmem10
1000,100000,1000_100000,2792,6137.0,7,38,nmf,1,96,0,balb,0,dmem10
10000,0,10000_0,1109,0.0,7,38,nmf,1,96,0,balb,0,dmem10
10000,100,10000_100,3144,240.0,7,38,nmf,1,96,0,balb,0,dmem10
10000,1000,10000_1000,4735,7228.0,7,38,nmf,1,96,0,balb,0,dmem10
10000,10000,10000_10000,1791,5878.0,7,38,nmf,1,96,0,balb,0,dmem10
10000,100000,10000_100000,1270,2888.0,7,38,nmf,1,96,0,balb,0,dmem10
100000,0,100000_0,2954,0.0,7,38,nmf,1,96,0,balb,0,dmem10
100000,1000,100000_1000,3387,721.0,7,38,nmf,1,96,0,balb,0,dmem10
100000,10000,100000_10000,21,36.0,7,38,nmf,1,96,0,balb,1,dmem10
100000,100000,100000_100000,2190,3933.0,7,38,nmf,1,96,0,balb,0,dmem10
0,100,0_100,0,1.0,7,38,nmf,1,96,0,balb,0,dmem10
0,1000,0_1000,0,4.0,7,38,nmf,1,96,0,balb,0,dmem10
0,10000,0_10000,0,5.0,7,38,nmf,1,96,0,balb,0,dmem10
0,100000,0_100000,0,310.0,7,38,nmf,1,96,0,balb,0,dmem10
100,100000,100_100000,100,100000.0,0,36,nmf,1,6,0,balb,0,dmem10
300,100000,300_100000,300,100000.0,0,36,nmf,1,6,0,balb,0,dmem10
300,300,300_300,300,300.0,0,36,nmf,1,6,0,balb,0,dmem10
0,100000,0_100000,0,100000.0,0,36,nmf,1,6,0,balb,0,dmem10
0,300,0_300,0,300.0,0,36,nmf,1,6,0,balb,0,dmem10
100,300,100_300,100,300.0,0,36,nmf,1,6,0,balb,0,dmem10
100,0,100_0,100,0.0,0,37,nmf,1,96,0,balb,0,dmem10
100,100,100_100,100,100.0,0,37,nmf,1,96,0,balb,0,dmem10
100,1000,100_1000,100,1000.0,0,37,nmf,1,96,0,balb,0,dmem10
100,10000,100_10000,100,10000.0,0,37,nmf,1,96,0,balb,0,dmem10
100,100000,100_100000,100,100000.0,0,37,nmf,1,96,0,balb,0,dmem10
1000,0,1000_0,1000,0.0,0,37,nmf,1,96,0,balb,0,dmem10
